type	value
Never smoker (control)	-0.973293189168631
Never smoker (control)	-0.746471550808011
Never smoker (control)	-0.977247250343365
Never smoker (control)	-0.564939175064331
Never smoker (control)	-0.505255786277151
Never smoker (control)	0.525438919323794
Never smoker (control)	-1.32500230164359
Never smoker (control)	-0.871893291340853
Never smoker (control)	-0.265743666036569
Never smoker (control)	-0.204420846562764
Never smoker (control)	-0.5548549059226
Never smoker (control)	-0.24223775316409
Never smoker (control)	-0.722017760878106
Never smoker (control)	-0.629886479242963
Never smoker (control)	-0.559845180700675
Never smoker (control)	-0.401838407251561
Never smoker (control)	-0.242503834898248
Never smoker (control)	-0.0520257358779607
Never smoker (control)	-0.918598709298778
Never smoker (control)	-0.240761027155886
Never smoker (control)	-0.289112701153045
Never smoker (control)	-0.0544653353952392
Never smoker (control)	-0.715074484614412
Never smoker (control)	-0.462149777553253
Never smoker (control)	-0.904063539505887
Never smoker (control)	-0.787643149597388
Never smoker (control)	-0.332933127095929
Never smoker (control)	-0.53427498576861
Never smoker (control)	-0.952700092017634
Never smoker (control)	-0.525685706343472
Never smoker (control)	-0.805234724065347
Never smoker (control)	0.400659098968025
Never smoker (control)	-0.555795615189546
Never smoker (control)	-0.317514256141639
Never smoker (control)	-0.798577420657031
Never smoker (control)	-0.879757865953125
Never smoker (control)	0.0274548841990974
Never smoker (control)	-0.666594312123298
Never smoker (control)	-1.35824482094027
Never smoker (control)	-0.530187333066786
Never smoker (control)	-0.604224458220678
Never smoker (control)	-0.541942360747585
Never smoker (control)	0.166061723342414
Never smoker (control)	-0.542964772137889
Never smoker (control)	-0.925962685011897
Never smoker (control)	-0.622304978155927
Never smoker (control)	-1.09456102078796
Never smoker (control)	-0.274062635831309
Never smoker (control)	-1.12508288624768
Never smoker (control)	-0.807646742057034
Never smoker (control)	-0.572185712880782
Never smoker (control)	1.84636177777903
Never smoker (control)	-0.347977373268969
Never smoker (control)	-0.166378767115558
Never smoker (control)	-0.892391457337328
Never smoker (control)	-1.02328836258641
Never smoker (control)	-0.419645433554281
Never smoker (control)	-0.593098452217586
Never smoker (control)	-0.937119631453514
Never smoker (control)	-0.699200246052328
Never smoker (control)	-0.0815313239388816
Never smoker (control)	-0.225716856310022
Never smoker (control)	-0.857233251696687
Never smoker (control)	-1.17481758034444
Former smoker (control)	-0.588824396499594
Former smoker (control)	-0.674072258382567
Former smoker (control)	-0.704790243738636
Former smoker (control)	0.279172355938147
Former smoker (control)	0.188986291392541
Former smoker (control)	-0.729583728221707
Former smoker (control)	-0.523649128856156
Former smoker (control)	-0.302247815346916
Former smoker (control)	-0.538954948352264
Former smoker (control)	0.0944695480659191
Former smoker (control)	-1.05567683852908
Former smoker (control)	-0.693055953100341
Former smoker (control)	0.00943879667787759
Former smoker (control)	-0.369253719836486
Former smoker (control)	-0.64237927527099
Former smoker (control)	-0.493526959994287
Former smoker (control)	-0.565857114831671
Former smoker (control)	-0.645579018507357
Former smoker (control)	0.098309975698802
Former smoker (control)	-0.604963728920882
